user_count,education,education_id,ed_list
37026,Bachelor or Higher,0,[]
37027,Bachelor or Higher,0,[]
37028,Bachelor or Higher,0,[]
37029,Some College or Associate,1,[]
37030,Bachelor or Higher,0,[]
37031,Bachelor or Higher,0,[]
37032,Less Than High School,3,[]
37033,error,error,error
37034,Bachelor or Higher,0,[]
37035,Bachelor or Higher,0,[]
37036,Some College or Associate,1,[]
37037,Bachelor or Higher,0,[]
37038,Bachelor or Higher,0,[]
37039,Bachelor or Higher,0,[]
37040,error,error,error
37041,Bachelor or Higher,0,[]
37042,Bachelor or Higher,0,[]
37043,Bachelor or Higher,0,[]
37044,Bachelor or Higher,0,[]
37045,Other,4,"[['', 'Life', 'Many Technology jobs in different companies like IBM, American Century in the last 30+ years']]"
37046,Bachelor or Higher,0,[]
37047,Some College or Associate,1,[]
37048,High School,2,[]
37049,Some College or Associate,1,[]
37050,Bachelor or Higher,0,[]
37051,Some College or Associate,1,[]
37052,Bachelor or Higher,0,[]
37053,Bachelor or Higher,0,[]
37054,Bachelor or Higher,0,[]
37055,Bachelor or Higher,0,[]
37056,Other,4,"[['Other', 'Shaw Academy', '']]"
37057,error,error,error
37058,Bachelor or Higher,0,[]
37059,Other,4,"[['', 'SAE-School Of Audio Engineering', '']]"
37060,Bachelor or Higher,0,[]
37061,Bachelor or Higher,0,[]
37062,High School,2,[]
37063,Some College or Associate,1,[]
37064,Bachelor or Higher,0,[]
37065,Some College or Associate,1,[]
37066,Some College or Associate,1,[]
37067,Some College or Associate,1,[]
37068,Bachelor or Higher,0,[]
37069,Bachelor or Higher,0,[]
37070,Some College or Associate,1,[]
37071,Bachelor or Higher,0,[]
37072,Bachelor or Higher,0,[]
37073,Bachelor or Higher,0,[]
37074,Bachelor or Higher,0,[]
37075,Bachelor or Higher,0,[]
37076,Bachelor or Higher,0,[]
37077,Bachelor or Higher,0,[]
37078,Bachelor or Higher,0,[]
37079,Bachelor or Higher,0,[]
37080,Bachelor or Higher,0,[]
37081,Bachelor or Higher,0,[]
37082,Bachelor or Higher,0,[]
37083,Bachelor or Higher,0,[]
37084,Bachelor or Higher,0,[]
