user_count,skilltest_tenure
1072,"[586, 19, 1]"
1073,"[621, 20, 1]"
1074,"[623, 20, 1]"
1075,None
1076,"[828, 27, 2]"
1077,"[656, 21, 1]"
1078,"[475, 15, 1]"
1079,"[418, 13, 1]"
1080,"[787, 26, 2]"
1081,"[905, 30, 2]"
1082,None
1083,"[124, 4, 0]"
1084,"[100, 3, 0]"
1085,"[439, 14, 1]"
1086,"[383, 12, 1]"
1087,"[544, 18, 1]"
1088,"[527, 17, 1]"
1089,"[342, 11, 0]"
1090,"[1089, 36, 2]"
1091,"[612, 20, 1]"
1092,"[839, 27, 2]"
1093,"[706, 23, 1]"
1094,"[254, 8, 0]"
1095,"[538, 17, 1]"
1096,None
1097,None
1098,"[710, 23, 1]"
1099,"[408, 13, 1]"
1100,"[2195, 73, 6]"
1101,"[2246, 74, 6]"
1102,None
1103,"[320, 10, 0]"
1104,"[571, 19, 1]"
1105,"[1503, 50, 4]"
1106,"[1014, 33, 2]"
1107,None
1108,"[368, 12, 1]"
1109,"[683, 22, 1]"
1110,None
1111,"[388, 12, 1]"
1112,"[433, 14, 1]"
1113,"[1069, 35, 2]"
1114,"[2031, 67, 5]"
1115,"[3127, 104, 8]"
1116,"[831, 27, 2]"
1117,None
1118,"[709, 23, 1]"
1119,"[2490, 83, 6]"
1120,"[881, 29, 2]"
1121,"[565, 18, 1]"
1122,"[345, 11, 0]"
1123,"[925, 30, 2]"
1124,"[317, 10, 0]"
1125,None
1126,"[171, 5, 0]"
1127,None
1128,None
1129,None
1130,"[790, 26, 2]"
1131,"[518, 17, 1]"
1132,"[747, 24, 2]"
1133,"[848, 28, 2]"
1134,"[1183, 39, 3]"
1135,"[711, 23, 1]"
1136,None
1137,"[227, 7, 0]"
1138,None
1139,"[642, 21, 1]"
1140,"[2398, 79, 6]"
1141,"[202, 6, 0]"
1142,None
1143,"[585, 19, 1]"
1144,"[559, 18, 1]"
1145,None
1146,"[691, 23, 1]"
1147,"[722, 24, 1]"
1148,"[849, 28, 2]"
1149,"[849, 28, 2]"
1150,"[538, 17, 1]"
1151,None
1152,"[825, 27, 2]"
1153,"[447, 14, 1]"
1154,"[90, 3, 0]"
1155,None
1156,"[1065, 35, 2]"
1157,"[810, 27, 2]"
1158,"[640, 21, 1]"
1159,"[754, 25, 2]"
1160,"[884, 29, 2]"
1161,None
1162,"[515, 17, 1]"
1163,"[398, 13, 1]"
1164,"[102, 3, 0]"
1165,"[326, 10, 0]"
1166,"[329, 10, 0]"
1167,"[565, 18, 1]"
1168,"[566, 18, 1]"
1169,"[545, 18, 1]"
1170,"[530, 17, 1]"
1171,"[560, 18, 1]"
1172,"[741, 24, 2]"
1173,"[587, 19, 1]"
1174,"[348, 11, 0]"
1175,"[612, 20, 1]"
1176,"[795, 26, 2]"
1177,None
1178,"[235, 7, 0]"
1179,"[200, 6, 0]"
1180,"[377, 12, 1]"
1181,"[123, 4, 0]"
1182,"[134, 4, 0]"
1183,None
1184,None
1185,"[508, 16, 1]"
1186,"[874, 29, 2]"
1187,"[824, 27, 2]"
1188,None
